product_name,brand_name,SKU,price,order_id,product_description,data_generated_at
Lightweight Gaming Chair,The North Face,THP-2417-OM,$136.00,ORD-138791426,A wireless blender made with high-quality glass.,2026-07-21 18:39:08.606984
Smart Fitness Tracker,Levi's,DQS-2327-HP,$481.94,ORD-514247466,A portable drone made with high-quality stainless steel.,2026-07-21 18:39:08.607027
Compact Monitor,Cuisinart,CUO-8526-CU,$123.14,ORD-343516942,A lightweight laptop made with high-quality bamboo.,2026-07-21 18:39:08.607045
Eco-Friendly Laptop,Garmin,SUH-4400-QY,$506.39,ORD-380167552,A waterproof coffee maker made with high-quality ceramic.,2026-07-21 18:39:08.607061
Portable Drone,KitchenAid,WIL-8693-NW,$186.57,ORD-338620645,A ultra keyboard made with high-quality ceramic.,2026-07-21 18:39:08.607078
Compact Camera,Bose,OTO-4689-SY,$815.64,ORD-256380886,A classic sneakers made with high-quality cashmere.,2026-07-21 18:39:08.607094
Deluxe Speaker,ASUS,FPV-9411-HA,$432.69,ORD-263585172,A organic monitor made with high-quality leather.,2026-07-21 18:39:08.607138
Premium Fitness Tracker,Apple,VYO-5677-YY,$98.60,ORD-783351985,A portable power bank made with high-quality wood.,2026-07-21 18:39:08.607162
Ultra Camera,Samsung,UCZ-4589-FI,$919.31,ORD-936318062,A limited edition yoga mat made with high-quality glass.,2026-07-21 18:39:08.607178
Ergonomic Electric Toothbrush,Dell,EGE-9346-RI,$5.32,ORD-229175801,A premium jacket made with high-quality cashmere.,2026-07-21 18:39:08.607194
Waterproof Desk Lamp,Canon,TEH-6617-WO,$757.06,ORD-561715615,A eco-friendly smartphone made with high-quality cashmere.,2026-07-21 18:39:08.607209
Limited Edition Coffee Maker,Panasonic,PJK-2439-WT,$905.44,ORD-687150993,A deluxe monitor made with high-quality aluminum.,2026-07-21 18:39:08.607224
Ultra Backpack,Dyson,PYX-1573-VL,$96.63,ORD-316157068,A deluxe air fryer made with high-quality wool.,2026-07-21 18:39:08.607270
Waterproof Backpack,LG,HDP-5090-VV,$388.82,ORD-287806278,A ergonomic air fryer made with high-quality silicone.,2026-07-21 18:39:08.607287
Compact Coffee Maker,Adidas,NMU-3921-NY,$918.48,ORD-561196106,A high-performance wireless earbuds made with high-quality wood.,2026-07-21 18:39:08.607303
Premium Smartwatch,Logitech,LFI-5998-AN,$66.54,ORD-999784012,A lightweight laptop made with high-quality glass.,2026-07-21 18:39:08.607318
Portable Camera,Garmin,MUE-2684-OW,$740.64,ORD-601183075,A handcrafted air purifier made with high-quality recycled plastic.,2026-07-21 18:39:08.607348
Professional Tablet,Nike,BDJ-4251-CF,$411.79,ORD-123222394,A limited edition tablet made with high-quality bamboo.,2026-07-21 18:39:08.607365
Handcrafted Webcam,Anker,ZDL-2900-AK,$846.22,ORD-491122065,A smart jacket made with high-quality wool.,2026-07-21 18:39:08.607380
Premium Monitor,Panasonic,PFL-8167-OG,$898.49,ORD-419246530,A professional desk lamp made with high-quality polyester.,2026-07-21 18:39:08.607394
Limited Edition Fitness Tracker,JBL,OYQ-4415-BE,$784.52,ORD-929274421,A smart smartphone made with high-quality cashmere.,2026-07-21 18:39:08.607410
Limited Edition Blender,Dyson,EMW-4668-UG,$245.14,ORD-480647765,A organic smartwatch made with high-quality leather.,2026-07-21 18:39:08.607427
